,Samples,Heat release capacity (Jg 1 -1 k-1,PHRR (W/g),Vectors,Ref
0,EP,230.0,235.6,['EP'],j.compositesb.2013.12.033_7_0
1,EP/GO1,191.0,193.5,"['EP', 'GO1']",j.compositesb.2013.12.033_7_0
2,EP/GFR1,131.0,131.3,"['EP', 'GFR(1)']",j.compositesb.2013.12.033_7_0
