,Network,Samples,Optimal ratio,Mamine (mg),EEWth of initial epoxy (g eq - 1,Number of epoxy function of initial epoxy (per molecule),HEWth (g eq -1),Amine viscosity (mPas at 50 °C),Vectors,Ref
0,T-DH,DHAVA/DGEBA b,1.2,48.2,133.1,2.0,75.1,400.0,"['DHAVA', 'DGEBAb']",j.eurpolymj.2019.06.020_7_0
1,T-NC,NC-A/DGEBA,1.2,136.6,438.0,1.3,227.5,362000.0,"['NC-A', 'DGEBA']",j.eurpolymj.2019.06.020_7_0
2,T-GX,GX-A/DGEBA,1.4,76.8,182.5,1.9,99.8,33000.0,"['GX-A', 'DGEBA']",j.eurpolymj.2019.06.020_7_0
