,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),Residues (%),EHC (MJ/kg),Vectors,Ref
0,Pure EP,50.0,860.0,112.0,4182.0,7.0,31.0,['EP'],j.polymdegradstab.2014.11.017_4_0
1,EP/APP -MMT,60.0,393.0,33.0,1522.0,39.0,18.0,"['EP', 'APP-MMT']",j.polymdegradstab.2014.11.017_4_0
2,EP/OPS/ DOPO,58.0,540.0,82.0,3786.0,12.0,23.0,"['EP', 'OPS', 'DOPO']",j.polymdegradstab.2014.11.017_4_0
