,Samples,Epoxy,Linear Polyol,HBP polyol,HMDI,DBTDL,Curative,Vectors,Ref
0,Epoxy,100.0,-,-,-,-,50.0,['EP'],j.eurpolymj.2013.06.041_9_0
1,L-PU/EP,90.0,6.4075,-,3.5925,0.05,45.0,"['L-PU', 'EP']",j.eurpolymj.2013.06.041_9_0
2,G1-PU/EP,90.0,-,7.387,2.613,0.05,45.0,"['G1-PU', 'EP']",j.eurpolymj.2013.06.041_9_0
3,G2-PU/EP,90.0,-,8.745,1.255,0.05,45.0,"['G2-PU', 'EP']",j.eurpolymj.2013.06.041_9_0
4,G3-PU/EP,90.0,-,9.3847,0.6153,0.05,45.0,"['G3-PU', 'EP']",j.eurpolymj.2013.06.041_9_0
5,G4-PU/EP,90.0,-,9.6953,0.3047,0.05,45.0,"['G4-PU', 'EP']",j.eurpolymj.2013.06.041_9_0
