,Samples,Tonset (°C),Tmax1 (°C),Tmax2 (°C),Weight 300 °C,of 400 O,residue (%) C 500 O,residue (600 °C) (%),residue (%) °C 700 O C,Vectors,Ref
0,EP-APP,275.0,318.0,528.0,88.1,60.0,40.0,7.7,3.8,"['EP', 'APP']",j.polymdegradstab.2009.01.006_4_0
1,EP-APP- CuSAO,268.0,313.0,527.0,86.9,61.8,40.9,8.5,3.9,"['EP', 'APP', 'CuSAO']",j.polymdegradstab.2009.01.006_4_0
2,EP-APP- CoSA3,271.0,313.0,531.0,86.2,59.2,39.5,8.7,3.4,"['EP', 'APP', 'CoSA3']",j.polymdegradstab.2009.01.006_4_0
3,EP,333.0,413.0,541.0,97.8,72.2,19.8,1.3,0.1,['EP'],j.polymdegradstab.2009.01.006_4_0
