,Samples,Tig (s),PHRR (kW/m²),HRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),Char yield (%),LOI,Vectors,Ref
0,HHPP//DHB100,125.0,724.0,163.0,94.0,24.0,22.3,22.0,"['HHPP(0)', 'DHB(1.0)']",j.eurpolymj.2003.12.015_6_0
1,HHPP25/DHB75,89.0,369.0,114.0,64.7,22.1,41.2,27.0,"['HHPP(0.25)', 'DHB(0.75)']",j.eurpolymj.2003.12.015_6_0
2,HHPP50/DHB50,83.0,389.0,96.0,54.7,20.9,43.7,27.5,"['HHPP(0.5)', 'DHB(0.5)']",j.eurpolymj.2003.12.015_6_0
3,HHPP75/DHB25,79.0,290.0,100.0,51.4,20.4,44.6,30.0,"['HHPP(0.75)', 'DHB(0.25)']",j.eurpolymj.2003.12.015_6_0
4,HHPP100/DHB,67.0,443.0,97.0,38.6,18.6,47.2,30.0,"['HHPP(1.0)', 'DHB(0)']",j.eurpolymj.2003.12.015_6_0
