,Samples,Tg (°C) DSC,Tg DMA (°C),Mc (g/mol),Vectors,Ref
0,DGEBA,129.0,117.0,47.2,['DGEBA'],j.eurpolymj.2016.07.014_11_1
1,50%DOL-DDM,85.0,83.0,46.1,"['(0.5)DOL', 'DDM']",j.eurpolymj.2016.07.014_11_1
2,50%DKL-DDM,101.0,100.0,57.9,"['(0.5)DKL', 'DDM']",j.eurpolymj.2016.07.014_11_1
