,Samples,Swelling ratio (%) a,Soluble fraction (%) b,Vectors,Ref
0,ER-DiBuIm-3%,129.0,6.0,"['ER', 'DiBuIm(0.03)']",j.eurpolymj.2021.110296_6_0
1,ER-DiBuIm-5%,166.0,7.0,"['ER', 'DiBuIm(0.05)']",j.eurpolymj.2021.110296_6_0
2,ER-DiPrOHIm-3%,147.0,5.0,"['ER', 'DiPrOHIm(0.03)']",j.eurpolymj.2021.110296_6_0
3,ER-DiPrOHIm-5%,154.0,8.0,"['ER', 'DiPrOHIm(0.05)']",j.eurpolymj.2021.110296_6_0
