,Samples,Reinforcing agent (%),"Tg, °Cat 11 Hz",Vectors,Ref
0,DGEBA_PXDED,0.0,119.9,"['DGEBA', 'PXDED']",j.compositesb.2011.11.052_7_2
1,DGEBA_MWCNT_PXDED,1.0,119.2,"['DGEBA', 'MWCNT', 'PXDED']",j.compositesb.2011.11.052_7_2
2,DGEBA_MWCNT-SP135_PXDED,1.0,121.5,"['DGEBA', 'MWCNT-SP(135)', 'PXDED']",j.compositesb.2011.11.052_7_2
3,OGEBA_MWCNT-X100_PXDED,1.0,119.9,"['OGEBA', 'MWCNT-X(100)', 'PXDED']",j.compositesb.2011.11.052_7_2
4,DGEBA_MWCNT-NP9_PXDED,1.0,123.4,"['DGEBA', 'MWCNT-NP(9)', 'PXDED']",j.compositesb.2011.11.052_7_2
5,DGEBA_MWCNT-COOH_PXDED,1.0,127.8,"['DGEBA', 'MWCNT-COOH', 'PXDED']",j.compositesb.2011.11.052_7_2
6,DGEBA_MWCNT-COO-SP135_PXDED,1.0,122.6,"['DGEBA', 'MWCNT-COO-SP(135)', 'PXDED']",j.compositesb.2011.11.052_7_2
7,DGEBA_MWCNT-C0O-X100_PXDED,1.0,119.3,"['DGEBA', 'MWCNT-C0O-X100', 'PXDED']",j.compositesb.2011.11.052_7_2
8,DGEBA_MWCNT-COO-NP9_PXDED,1.0,123.6,"['DGEBA', 'MWCNT-COO-NP(9)', 'PXDED']",j.compositesb.2011.11.052_7_2
