,Samples,Td5 (°C),(°C),%Res (575 °C),Tg (°C),TB (°C),To (°C),E' (30 °C) (MPa),E' (Tg+0°C) (MPa),Vectors,Ref
0,GETT-IPD,256.0,294.0,12.0,129.0,50.0,139.0,5.28,116.0,"['GETT', 'IPD']",j.eurpolymj.2014.03.034_10_0
1,DGEBA-IPD,328.0,353.0,9.0,149.0,50.0,140.0,1.29,13.8,"['DGEBA', 'IPD']",j.eurpolymj.2014.03.034_10_0
