,Samples,Tg (°C),E (MPa),Tensile strength (MPa),Young's modulus (MPa),Elongation at break (%),Impact strength (KJ/m²),Vectors,Tensile strength (MPa)_err,Young's modulus (MPa)_err,Elongation at break (%)_err,Impact strength (KJ/m²)_err,Ref
0,EP/DDM,186.0,2204.0,53.4,1280.2,5.7,8.7,"['EP', 'DDM']",3.0,10.5,0.5,0.6,j.cej.2021.131578_5_0
1,EP/DDM/DA-3,186.0,2486.0,22.6,1023.9,2.2,2.7,"['EP', 'DDM', 'DA(3)']",1.7,14.3,0.7,0.1,j.cej.2021.131578_5_0
2,EP/DDM/PD-3,179.0,2343.0,51.9,1102.3,3.7,3.5,"['EP', 'DDM', 'PD(3)']",2.5,12.8,0.7,0.4,j.cej.2021.131578_5_0
3,EP/DDM/PB-1,187.0,2280.0,65.3,1364.5,7.3,12.3,"['EP', 'DDM', 'PB(1)']",3.2,15.1,0.6,0.5,j.cej.2021.131578_5_0
4,EP/DDM/PB-2,184.0,2231.0,69.2,1375.4,7.5,12.4,"['EP', 'DDM', 'PB(2)']",1.6,30.5,0.3,0.3,j.cej.2021.131578_5_0
5,EP/DDM/PB-3,180.0,2245.0,69.3,1426.9,7.9,13.0,"['EP', 'DDM', 'PB(3)']",1.6,36.4,0.3,0.4,j.cej.2021.131578_5_0
6,EP/DDM/PB-5,177.0,2584.0,80.4,1563.4,7.1,12.2,"['EP', 'DDM', 'PB(5)']",2.7,20.9,0.5,0.5,j.cej.2021.131578_5_0
