,Samples,PHRR (W/g),THR (kJ/g),Tp (°C),Vectors,Ref
0,EP,994.0,40.8,416.0,['EP'],j.compscitech.2017.03.025_6_0
1,MGNH/EP,202.0,27.0,363.0,"['MGNH', 'EP']",j.compscitech.2017.03.025_6_0
