,Samples,C (wt%),O (wt%),N (wt%),P (wt%),Vectors,Ref
0,EP/10APP,70.02,20.02,4.87,5.09,"['EP', '(10)APP']",j.polymdegradstab.2019.02.021_8_0
1,EP/7.5APP/2.5BPOPA,79.02,12.89,5.4,2.69,"['EP', '(7.5)APP', '(2.5)BPOPA']",j.polymdegradstab.2019.02.021_8_0
