,PSA,Samples,Peel (N/25 mm),Loop tack (N/25 mm),WA (J/m²),Shear resistance (min),SAFT (°C),Vectors,Peel (N/25 mm)_err,Loop tack (N/25 mm)_err,WA (J/m²)_err,Shear resistance (min)_err,SAFT (°C)_err,Ref
0,1.1,2OA (100),3.5,3.1,43.0,393.0,70.0,['2OA(1.0)'],0.8,0.6,6.0,35.0,1.0,j.eurpolymj.2020.110244_6_0
1,1.2,2OA:IBOMA (85:15),6.6,6.6,132.0,15047.0,94.0,"['2OA(0.85)', 'IBOMA(0.15)']",0.4,0.1,8.0,439.0,1.0,j.eurpolymj.2020.110244_6_0
2,1.3,2OA:IBOMA + CTA* (85:15),7.3,6.2,119.0,1659.0,82.0,"['2OA(0.85)', 'IBOMA(0.15)', 'CTA*']",0.8,0.5,15.0,73.0,1.0,j.eurpolymj.2020.110244_6_0
3,2.1,2OA:IBOMA (85:15),6.0,5.1,79.0,5273.0,100.0,"['2OA(0.85)', 'IBOMA(0.15)']",0.5,0.4,2.0,40.0,1.0,j.eurpolymj.2020.110244_6_0
4,2.2,20A:IBOMA + CTA* (85:15),6.9,10.0,179.0,2137.0,90.0,"['20A(0.85)', 'IBOMA(0.15)', 'CTA*']",0.5,1.0,24.0,130.0,1.0,j.eurpolymj.2020.110244_6_0
5,2.3,2OA:IBOMA: ISOMA + CTA* (85:10:5),5.8,5.4,102.0,4334.0,85.0,"['2OA(0.85)', 'IBOMA(0.1)', 'ISOMA(0.05)', 'CTA*']",0.4,0.4,5.0,180.0,1.0,j.eurpolymj.2020.110244_6_0
