,Samples,Stress at break (MPa),Elongation at break (%),Young's modulus (MPa),T (°C),T8 (°C),Storage modulus (50°C) (MPa),Ve (mol/m³),Vectors,Ref
0,EP,77.1,8.4,1232.0,181.6,143.7,1184.0,822.5,['EP'],j.cej.2018.08.023_15_0
1,EP/2.4[Dmim]Tos,78.4,8.6,1421.0,180.4,138.1,1410.0,1276.7,"['EP', '(2.4)[Dmim]Tos']",j.cej.2018.08.023_15_0
2,EP/4.0[Dmim]Tos,68.4,8.2,1393.0,173.6,139.6,1828.0,1445.2,"['EP', '(4.0)[Dmim]Tos']",j.cej.2018.08.023_15_0
3,EP/7.5[Dmim]Tos,64.2,7.9,149185.0,170.4,138.7,2040.0,1636.7,"['EP', '(7.5)[Dmim]Tos']",j.cej.2018.08.023_15_0
