,Samples,"T "" (°C)",E' at 30 °C6 (MPa),Ve (molm-3),Flexural modulus (MPa),Flexural strength (MPa),Vectors,Flexural modulus (MPa)_err,Flexural strength (MPa)_err,Ref
0,THMT-EP/DDS,300.0,3085.0,1301.0,4137.0,134.2,"['THMT-EP', 'DDS']",39.0,5.5,j.cej.2020.126881_6_0
1,DGEBA/DDS,180.0,1939.0,1012.0,2688.0,117.4,"['DGEBA', 'DDS']",41.0,4.2,j.cej.2020.126881_6_0
