,Samples,DGEBA (%),DDM (%),MAPPO (%),UL-94,LOI (%),Vectors,LOI (%)_err,Ref
0,EP,80.0,20.0,0.0,NR,25.6,['EP'],0.5,j.polymdegradstab.2019.108981_2_0
1,EP/5MAPPO,76.0,19.0,5.0,NR,32.2,"['EP', '(5)MAPPO']",0.5,j.polymdegradstab.2019.108981_2_0
2,EP/10MAPPO,72.0,18.0,10.0,V-1,33.3,"['EP', '(10)MAPPO']",0.5,j.polymdegradstab.2019.108981_2_0
3,EP/15MAPPO,68.0,17.0,15.0,V-1,34.0,"['EP', '(15)MAPPO']",0.5,j.polymdegradstab.2019.108981_2_0
4,EP/18MAPPO,65.6,16.4,18.0,V-0,33.0,"['EP', '(18)MAPPO']",0.5,j.polymdegradstab.2019.108981_2_0
