,Samples,EP (g),DDM (g),CCD (g),UL94 (3.2 m),LOI (%),Vectors,Ref
0,EP,25.0,6.5,0.0,N.R,25.8,['EP'],j.carbpol.2020.116530_3_0
1,EP/6 % CCD,25.0,6.5,2.01,V-1,29.2,"['EP', '(0.06)CCD']",j.carbpol.2020.116530_3_0
2,EP/8 % CCD,25.0,6.5,2.74,V-1,30.5,"['EP', '(0.08)CCD']",j.carbpol.2020.116530_3_0
3,EP/10 % CCD,25.0,6.5,3.5,V-0,31.6,"['EP', '(0.1)CCD']",j.carbpol.2020.116530_3_0
