,Samples,TTI (s),THR (MJ/m²),Time PHRR (s),PHRR (kW/m²),TSP (m²),EHC (MJ/kg),W (%),Vectors,TTI (s)_err,THR (MJ/m²)_err,Time PHRR (s)_err,PHRR (kW/m²)_err,TSP (m²)_err,EHC (MJ/kg)_err,W (%)_err,Ref
0,EP,11.0,142.0,140.0,781.0,50.4,31.2,5.6,['EP'],2.0,4.0,5.0,16.0,0.5,0.4,0.5,j.polymdegradstab.2016.06.011_4_0
1,EP/MH,14.0,123.0,145.0,518.0,33.9,28.7,17.5,"['EP', 'MH']",2.0,3.0,5.0,13.0,0.5,0.4,0.8,j.polymdegradstab.2016.06.011_4_0
2,EP/B,17.0,108.0,175.0,454.0,27.3,24.5,23.7,['EP/B'],3.0,3.0,5.0,12.0,0.5,0.4,0.8,j.polymdegradstab.2016.06.011_4_0
3,EP/MH/B2,16.0,102.0,230.0,353.0,28.9,24.3,19.8,"['EP', 'MH', 'B(2)']",2.0,3.0,5.0,11.0,0.5,0.4,0.8,j.polymdegradstab.2016.06.011_4_0
