,Brand,Samples,Polymerization mode,Batch number,Manufacturer,Shade,Vectors,Ref
0,Sinfony,"HEMA and 10-30 wt% octahydro-4,7-methano-1H- indenediyl is(methylene)diacrylate, strontium-aluminum borosilicate glass, silicon oxide, silane and photoinitiators weight (%) organic fillers: 50%","First cycle: Polymerization for 5 min in the Visio Alpha unit (400 mW/cm², Programme 3, no vacuum) Second cycle: Polymerization for 15 min in the Visio Beta Vario unit (40 °C with vacuum, 470 mW/cm²",203216.0,"3 M ESPE AG, Seefeld, Germany",A2,"['HEMAand(10)', '(0.3)octahydro', '(4.7)', 'methano', '(1)H', 'indenediylis(methylene)diacrylate,strontium', 'aluminumborosilicateglass,siliconoxide,silaneandphotoinitiatorsweight()organicfillers:(0.5)']",j.ijadhadh.2012.06.008_2_0
1,Targis,"bis-GMA 20%, DDDMA,UDMA, TEGDMA Silanized barium glass fillers, photoinitiators, inhibitors and pigments weight (%) organic fillers: 46,2%","First cycle: Polymerization for 5 min in the Targis Quick unit. (300 mW/cm²) Second cycle: Polymerization for 25 min in the Targis Power unit (68 °C with vacuum, 400 mW/cm2)",15605.0,"Ivoclar Vivadent AG, Schaan, Liechtenstein",A2,"['bis', 'GMA', '(0.2),DDDMA,UDMA,TEGDMASilanizedbariumglassfillers,photoinitiators,inhibitorsandpigmentsweight(%)organicfillers:46,2%']",j.ijadhadh.2012.06.008_2_0
2,Targis wet- ting agent,3-methacryloxypropyltrimethoxysilane,,815137.0,Ivoclar Vivadent,,['(3)methacryloxypropyltrimethoxysilane'],j.ijadhadh.2012.06.008_2_0
3,Sinfony,activator,"> 90 wt% (octahydro-4,7-methano-1H- indenediyl)bis(methylene)diacrylate",,034,3 M ESPE AG,['activator'],j.ijadhadh.2012.06.008_2_0
