,Samples,Tg (°C),Impact energy (Jm-1),Modulus (GPa),Yield stress (MPa),Vectors,Impact energy (Jm-1)_err,Modulus (GPa)_err,Yield stress (MPa)_err,Ref
0,DGEBA/TETA,124.0,36.2,3.1,49.2,"['DGEBA', 'TETA']",6.1,0.1,0.1,j.ijadhadh.2011.01.002_4_0
1,DGEBA/AEP,115.0,70.1,2.87,47.3,"['DGEBA', 'AEP']",4.4,0.1,0.1,j.ijadhadh.2011.01.002_4_0
2,DGEBA/Pip,80.0,49.8,2.62,46.8,"['DGEBA', 'Pip']",3.4,0.1,0.1,j.ijadhadh.2011.01.002_4_0
3,DGEBA/IPD,155.0,33.8,3.77,60.2,"['DGEBA', 'IPD']",2.8,0.1,0.1,j.ijadhadh.2011.01.002_4_0
