,Samples,T5% °C,Tmax1 °C; %/min,Tmax2 (°C) (%/min),Tmax3 (°C) (%/min),Tmax4 °C; %/min,Tmax5 (°C) (%/min),Tmax6 (°C) (%/min),Tmax7 (°C) (%/min),U800 %,Vectors,Ref
0,EP,172.0,206.0,-,338.0,364.0,-,-,-,3.0,['EP'],j.polymdegradstab.2020.109292_7_0
1,20APP,166.0,169.0,-,321.0,387.0,414.0,434.0,451.0,9.0,['(20)APP'],j.polymdegradstab.2020.109292_7_0
2,20LHP,177.0,169.0,218.0,315.0,332.0,-,430.0,-,19.0,['(20)LHP'],j.polymdegradstab.2020.109292_7_0
3,20HS,187.0,-,294.0,347.0,360.0,-,-,-,12.0,['(20)HS'],j.polymdegradstab.2020.109292_7_0
4,15HS/5LHP,183.0,175.0,212.0,328.0,349.0,-,-,-,16.0,"['(15)HS', '(5)LHP']",j.polymdegradstab.2020.109292_7_0
5,10HS/10LHP,162.0,165.0,211.0,324.0,343.0,-,-,-,17.0,"['(10)HS', '(10)LHP']",j.polymdegradstab.2020.109292_7_0
6,5HS/15LHP,190.0,176.0,219.0,319.0,333.0,-,-,445.0,18.0,"['(5)HS', '(15)LHP']",j.polymdegradstab.2020.109292_7_0
