,Entry,Samples,Tds (°C),Td30 (°C),Tmax (°C),THRI (°C),R800 (%),Vectors,Ref
0,1.0,DBDBBB/ 33DDS,397.0,440.0,450.0,207.2,17.6,"['DBDBBB', '33DDS']",j.cej.2021.128647_6_0
1,2.0,DBDBBB/ 44DDS,410.0,450.0,451.0,212.7,31.2,"['DBDBBB', '44DDS']",j.cej.2021.128647_6_0
2,3.0,DGEBA/ 33DDS,413.0,430.0,430.0,207.4,16.5,"['DGEBA', '33DDS']",j.cej.2021.128647_6_0
3,4.0,DGEBA/ 44DDS,408.0,426.0,424.0,205.2,14.8,"['DGEBA', '44DDS']",j.cej.2021.128647_6_0
