,Samples,DSC (J/g),DSC ΔH (kJ/ee),DSC Tmax b (C),DSC Tgc (C),DMTA Ttans d (C),DMTA E'e (MPa),TGA T2% (C),TGA Tmax (°C),Vectors,Ref
0,DGEBA/MTHPA/0%,245.0,90.0,165.0,92.0,118.0,11.5,283.0,413.0,"['DGEBA', 'MTHPA', '(0.0)']",j.eurpolymj.2010.04.015_7_0
1,,H1500,,,,,,,,[''],j.eurpolymj.2010.04.015_7_0
2,DGEBA/MTHPA/5%,238.0,90.0,164.0,103.0,129.0,20.9,268.0,411.0,"['DGEBA', 'MTHPA', '(0.05)']",j.eurpolymj.2010.04.015_7_0
3,DGEBA/MTHPA/10%,232.0,95.0,162.0,103.0,130.0,14.1,252.0,415.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015_7_0
4,DGEBA/MTHPA/15%,228.0,98.0,161.0,94.0,125.0,11.2,254.0,409.0,"['DGEBA', 'MTHPA', '(0.15)']",j.eurpolymj.2010.04.015_7_0
5,DGEBA/MTHPA/20%,204.0,89.0,160.0,90.0,127.0,8.3,259.0,413.0,"['DGEBA', 'MTHPA', '(0.2)']",j.eurpolymj.2010.04.015_7_0
6,,H30000,,,,,,,,[''],j.eurpolymj.2010.04.015_7_0
7,DGEBA/MTHPA/5%,230.0,93.0,165.0,100.0,128.0,13.8,265.0,412.0,"['DGEBA', 'MTHPA', '(0.05)']",j.eurpolymj.2010.04.015_7_0
8,DGEBA/MTHPA/10%,220.0,98.0,165.0,106.0,122.0,11.5,237.0,414.0,"['DGEBA', 'MTHPA', '(0.1)']",j.eurpolymj.2010.04.015_7_0
