,Samples,C (wt 9 %),O (wt%),N (wt%),Vectors,Ref
0,PH-ODA-EP/DDM,85.67,10.19,4.23,"['PH-ODA-EP', 'DDM']",j.cej.2019.123667_48_4
1,DGEBA/DDM,80.87,14.92,4.21,"['DGEBA', 'DDM']",j.cej.2019.123667_48_4
