,Samples,[Dmim]Tos content (wt%),P content (wt%),LOI (%),LOI t1/t2a,UL-94,Vectors,Ref
0,EP,0.0,0.0,26.5,>1min/-,NR b,['EP'],j.cej.2018.08.023_21_0
1,EP/2.4[Dmim]Tos,2.4,0.12,31.7,23s/3s,V-1,"['EP', '(2.4)[Dmim]Tos']",j.cej.2018.08.023_21_0
2,EP/4.0[Dmim]Tos,4.0,0.2,32.5,2s/2s,V-0,"['EP', '(4.0)[Dmim]Tos']",j.cej.2018.08.023_21_0
3,EP/7.5[Dmim]Tos,7.5,0.36,33.9,1s/2s,V-0,"['EP', '(7.5)[Dmim]Tos']",j.cej.2018.08.023_21_0
