,Samples,Rf (%),Tres (°C),Vr (%/min),,Vectors,Rf (%)_err,Tres (°C)_err,Vr (%/min)_err,Ref
0,E-0-CNT,96.4,57.6,3.67,,"['E', '0', 'CNT']",0.5,3.1,0.34,j.compscitech.2016.10.030_20_0
1,E-0.5-CNT,97.5,52.5,4.58,,"['E', '0.5', 'CNT']",11.0,11.0,0.68,j.compscitech.2016.10.030_20_0
2,E-1-CNT,98.0,51.2,6.06,,"['E', '1', 'CNT']",0.6,1.0,0.44,j.compscitech.2016.10.030_20_0
3,E-1.5-CNT,98.5,51.1,6.08,,"['E', '1.5', 'CNT']",0.3,1.9,0.58,j.compscitech.2016.10.030_20_0
4,E-2-CNT,98.5,50.7,6.11,,"['E', '2', 'CNT']",0.3,1.1,0.71,j.compscitech.2016.10.030_20_0
