,Samples,GIIIC (J/m²,Tensile strength (MPa),Elongation at break (%),Vectors,GIIIC (J/m²_err,Tensile strength (MPa)_err,Elongation at break (%)_err,Ref
0,ECO/BPH,315.0,1.7,23.0,"['ECO', 'BPH']",12.0,0.1,1.0,j.eurpolymj.2004.09.011_6_1
1,ECO/BQH,425.0,2.5,26.0,"['ECO', 'BQH']",17.0,0.1,1.0,j.eurpolymj.2004.09.011_6_1
