,Samples,TTI (s),PHRR-1 (kW.m²),tPeak1-HRR (s),Peak2HRR (kW m-2),Time PHRR-2 (s),THR (MJ/m²),PSPR-1 (m²/s),Peak2SPR,TSP (m²),Peak1COP (gs1,PCOP-2 (g/s),PCO2P-1 (gs⁻¹²),PCO2P-2 (g/s),EHC (MJ/kg),Vectors,Ref
0,DGEBA/DDM,63.0,732.0,185.0,-,-,103.0,0.31,-,47.59,0.017,-,0.4,-,22.73,"['DGEBA', 'DDM']",j.polymdegradstab.2014.07.020_7_0
1,CTP-EP/DDM,30.0,187.0,50.0,132.0,322.0,63.0,0.16,0.05,18.57,0.013,0.006,0.1,0.09,16.65,"['CTP-EP', 'DDM']",j.polymdegradstab.2014.07.020_7_0
