,Samples,Curing agent,W/phr,Tpost (C),Vectors,Ref
0,EP/MTHPA-89,"MTHPA, 1MI",89.2,160.0,"['EP', 'MTHPA(89)']",j.eurpolymj.2016.09.022_2_0
1,EP/DETA-10,DETA,10.0,160.0,"['EP', 'DETA(10)']",j.eurpolymj.2016.09.022_2_0
2,EP/DETA-11,DETA,11.1,160.0,"['EP', 'DETA(11)']",j.eurpolymj.2016.09.022_2_0
3,EP/T403-40,T403,40.0,125.0,"['EP', 'T403(40)']",j.eurpolymj.2016.09.022_2_0
4,EP/T403-44,T403,44.0,125.0,"['EP', 'T403(44)']",j.eurpolymj.2016.09.022_2_0
5,EP/D230-29,D230,29.0,125.0,"['EP', 'D230(29)']",j.eurpolymj.2016.09.022_2_0
6,EP/D230-32,D230,32.0,125.0,"['EP', 'D230(32)']",j.eurpolymj.2016.09.022_2_0
