,Samples,Epoxy resin (g),PEEKTOH (wt. % w.r.t. epoxy),Epoxy value (eq/kg),Vectors,Ref
0,EP-NEAT,100.0,0.0,5.4,['EP'],j.ijadhadh.2021.102816_2_0
1,EP-PEEKTOH (5),100.0,5.0,5.3,"['EP', 'PEEKTOH(5)']",j.ijadhadh.2021.102816_2_0
2,EP-PEEKTOH (10),100.0,10.0,4.9,"['EP', 'PEEKTOH(10)']",j.ijadhadh.2021.102816_2_0
3,EP-PEEKTOH (15),100.0,15.0,4.7,"['EP', 'PEEKTOH(15)']",j.ijadhadh.2021.102816_2_0
