,Samples,Flame inhibition effect (%),Charring effect (%),Barrier and protective effect (%),Vectors,Ref
0,2%APHP/4%DOPO/EP,41.2,17.4,28.2,"['(0.02)APHP', '(0.04)DOPO', 'EP']",j.polymdegradstab.2016.06.010_5_0
1,3%APHP/3%DOPO/EP,40.8,21.8,30.1,"['(0.03)APHP', '(0.03)DOPO', 'EP']",j.polymdegradstab.2016.06.010_5_0
2,6%APHP/EP,29.4,14.4,28.6,"['(0.06)APHP', 'EP']",j.polymdegradstab.2016.06.010_5_0
3,6%DOPO/EP,36.8,9.2,15.4,"['(0.06)DOPO', 'EP']",j.polymdegradstab.2016.06.010_5_0
