,Designation of composites,Samples,Vectors,Ref
0,PLATE 1,Epoxy+2 wt % TiO2+0.5 wt % GO,"['EP', '(0.02)TiO2', '(0.005)GO']",j.compositesb.2020.107911_2_0
1,PLATE 2,Epoxy+2 wt % TiO2+1 wt% % GO,"['EP', '(0.02)TiO2', '(0.01)%GO']",j.compositesb.2020.107911_2_0
2,PLATE 3,Epoxy+2 wt % TiO2+1.5 wt % GO,"['EP', '(0.02)TiO2', '(0.015)GO']",j.compositesb.2020.107911_2_0
