,Samples,T% Air (°C),T%(°C) Nitrogen,Tmax Air (°C),Tmax Nitrogen (°C),Residue O C Air,(700 Nitrogen) (wt%),Vectors,Ref
0,EP,319.0,337.0,345.0,364.0,1.6,3.6,['EP'],j.compositesb.2020.107828_5_0
1,PDA,70.0,93.0,482.0,498.0,3.7,42.0,['PDA'],j.compositesb.2020.107828_5_0
2,ATH,100.0,112.0,165.0,178.0,59.5,54.7,['ATH'],j.compositesb.2020.107828_5_0
3,2 wt% ATH/EP,290.0,323.0,341.0,360.0,1.7,5.7,"['(0.02)ATH', 'EP']",j.compositesb.2020.107828_5_0
4,2 wt% PDA/EP,315.0,322.0,343.0,352.0,0.6,10.7,"['(0.02)PDA', 'EP']",j.compositesb.2020.107828_5_0
5,10 wt% ATH/EP,219.0,220.0,339.0,332.0,13.3,13.6,"['(0.1)ATH', 'EP']",j.compositesb.2020.107828_5_0
6,10 wt% PDA/EP,307.0,312.0,335.0,337.0,1.3,19.1,"['(0.1)PDA', 'EP']",j.compositesb.2020.107828_5_0
