,Samples,HRC (J/gk),PHRR (W/g),THR (kJ/g),Tp1 (°C),Tp (°C) Tp2,Vectors,Ref
0,DGEL/DDS,101.0,107.5,24.3,390.1,589.8,"['DGEL', 'DDS']",j.cej.2021.131173_7_0
1,DGEBA/DDS,399.1,421.9,29.1,434.4,602.3,"['DGEBA', 'DDS']",j.cej.2021.131173_7_0
