,Samples,Monomer conversion (%) (extraction),Monomer conversion (%) (evaporation),Vectors,Ref
0,Neat A-PA6,97.9,96.02,['A-PA6'],j.compositesb.2018.02.002_6_0
1,CNT/A-PA6,97.94,94.61,"['CNT', 'A-PA6']",j.compositesb.2018.02.002_6_0
2,rGO/A-PA6,98.25,96.21,"['rGO', 'A-PA6']",j.compositesb.2018.02.002_6_0
3,Clay/A-PA6,98.61,96.81,"['Clay', 'A-PA6']",j.compositesb.2018.02.002_6_0
4,GO/A-PA6,98.59,97.01,"['GO', 'A-PA6']",j.compositesb.2018.02.002_6_0
5,xGnP/A-PA6,98.52,96.74,"['xGnP', 'A-PA6']",j.compositesb.2018.02.002_6_0
