,Samples,Kc,,.1,-AG ads,(k)/mol),.2,ads (kJ/mol),S ads (I/molK),Vectors,Ref
0,,293.0,303.0,313.0,293.0,303.0,313.0,,,[''],j.carbpol.2013.05.062_7_0
1,U-CMC-SAL,149.02,36.5,24.01,12.11,9.08,8.27,70.52,200.02,"['U', 'CMC', 'SAL']",j.carbpol.2013.05.062_7_0
2,N-CMC-SAL,32.3,19.13,14.0,8.46,7.42,6.87,32.19,81.16,"['N', 'CMC', 'SAL']",j.carbpol.2013.05.062_7_0
