,Samples,Intphenolic ext / Intmethyl-ketone ex,Vectors,Ref
0,Unfilled DGEBA/DEDA,0.24,"['UnDGEBA', 'DEDA']",j.polymdegradstab.2006.01.022_8_1
1,Pure nanometric silica filled DGEBA/DEDA,0.15,"['nanometricsilicaDGEBA', 'DEDA']",j.polymdegradstab.2006.01.022_8_1
2,Treated nanometric silica filled DGEBA/DEDA,0.19,"['TreatednanometricsilicaDGEBA', 'DEDA']",j.polymdegradstab.2006.01.022_8_1
