,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSP (m²),FIGRA (kW/m²s),LOI (%),UL-94,Vectors,Ref
0,Neat EP,67.0,1137.6,81.6,62.4,8.8,25.0,NR,['EP'],j.cej.2019.122402_10_0
1,EP/RGO,57.0,913.7,77.0,59.1,8.3,24.7,NR,"['EP', 'RGO']",j.cej.2019.122402_10_0
2,EP/RGO@Ni (OH)2,55.0,777.7,74.6,57.5,6.8,26.6,V-2,"['EP', 'RGO@Ni(OH)(2)']",j.cej.2019.122402_10_0
3,EP/hBN,45.0,845.3,68.7,46.8,6.5,27.2,NR,"['EP', 'hBN']",j.cej.2019.122402_10_0
4,EP/hBN/ RGO,80.0,743.7,63.0,42.8,6.2,28.0,V-2,"['EP', 'hBN', 'RGO']",j.cej.2019.122402_10_0
5,EP/hBN/ RGO@ Ni(OH)2,103.0,756.8,54.0,35.6,5.2,29.2,V-1,"['EP', 'hBN', 'RGO@Ni(OH)(2)']",j.cej.2019.122402_10_0
