,Samples,LOI (%),UL-94,Dripping,Vectors,Ref
0,EP,20.1,NR,Yes,['EP'],j.cej.2019.121916_6_0
1,EP-DOPO,31.9,V-1,No,"['EP', 'DOPO']",j.cej.2019.121916_6_0
2,EP-0.5,25.0,NR,No,['EP(0.5)'],j.cej.2019.121916_6_0
3,EP-1.0,28.3,V-1,No,['EP(1.0)'],j.cej.2019.121916_6_0
4,EP-1.5,30.7,V-1,No,['EP(1.5)'],j.cej.2019.121916_6_0
5,EP-2.0,32.8,V-0,No,['EP(2.0)'],j.cej.2019.121916_6_0
