,Samples,CS (MPa) (SD),Viscosity (cp),Ratio in liquid (wt%),Vectors,CS (MPa) (SD)_err,Ref
0,BTTEMA/TMPTMA,216.0,610.0,40.0,"['BTTEMA', 'TMPTMA']",16.0,j.eurpolymj.2004.03.005_6_0
1,BTTEMA/EB-40,183.0,799.0,40.0,"['BTTEMA', 'EB-40']",12.5,j.eurpolymj.2004.03.005_6_0
2,BTTEMA/TEGDMA,249.0,51.0,40.0,"['BTTEMA', 'TEGDMA']",14.0,j.eurpolymj.2004.03.005_6_0
3,BTTEMA/TEGDMA/TMPTMA,261.5,99.0,40.0,"['BTTEMA', 'TEGDMA', 'TMPTMA']",6.3,j.eurpolymj.2004.03.005_6_0
4,BTTEMA/TEGDMA/TMPTMA,260.8,159.0,40.0,"['BTTEMA', 'TEGDMA', 'TMPTMA']",9.6,j.eurpolymj.2004.03.005_6_0
5,BTTEMA/TEGDMA/TMPTMA,231.7,244.0,40.0,"['BTTEMA', 'TEGDMA', 'TMPTMA']",11.2,j.eurpolymj.2004.03.005_6_0
6,BTTEMA/TEGDMA/EB-40,241.1,175.0,40.0,"['BTTEMA', 'TEGDMA', 'EB-40']",10.9,j.eurpolymj.2004.03.005_6_0
7,BTTEMA/TEGDMA/EB-40,227.2,207.0,40.0,"['BTTEMA', 'TEGDMA', 'EB-40']",14.9,j.eurpolymj.2004.03.005_6_0
8,BTTEMA/TEGDMA/EB-40,189.6,322.0,40.0,"['BTTEMA', 'TEGDMA', 'EB-40']",10.6,j.eurpolymj.2004.03.005_6_0
