,Samples,HCN (ppm),NO (ppm),N2O (ppm),NH3 (ppm),CO (ppm),CO2 (%),HCHO (ppm),C6H5OH (ppm),H2O (%),C2H4 (ppm),Vectors,Ref
0,Error,500.0,500.0,50.0,20.0,500.0,20.0,50.0,50.0,20.0,100.0,['Error'],j.compositesb.2021.109130_9_1
1,Neat ABS,12.41,18.002,690.0,243.0,72.687,214.0,762.0,323.0,356.0,2253.0,['EPABS'],j.compositesb.2021.109130_9_1
2,ABS/BODIPY-MXene0.5,11.508,17.46,574.0,55.0,69.385,192.0,645.0,522.0,304.0,2014.0,"['ABS', 'BODIPY-MXene(0.5)']",j.compositesb.2021.109130_9_1
3,ABS/BODIPY-MXene 2.0,12.434,16.756,599.0,43.0,74.293,182.0,733.0,327.0,306.0,2223.0,"['ABS', 'BODIPY-MXene(2.0)']",j.compositesb.2021.109130_9_1
4,ABS/BODIPY2.0,12.079,18.861,672.0,149.0,69.114,198.0,682.0,586.0,361.0,2074.0,"['ABS', 'BODIPY(2.0)']",j.compositesb.2021.109130_9_1
