,Samples,POSS content Inorganic part (wt%),POSS content (wt%),POSS content (mol),MDEA (mol),DGEBA (mol),Vectors,Ref
0,OctaPh POSS,1.5,3.73,1.0,26.9,53.7,['OctaPhPOSS'],j.polymdegradstab.2009.06.025_3_0
1,,3.7,9.19,1.0,10.9,21.8,[''],j.polymdegradstab.2009.06.025_3_0
2,Gly-Ph POSS,1.5,3.86,1.0,26.0,51.5,"['Gly', 'PhPOSS']",j.polymdegradstab.2009.06.025_3_0
3,,3.71,9.55,1.0,10.0,19.5,[''],j.polymdegradstab.2009.06.025_3_0
4,Gly-iBu POSS,1.51,3.38,1.0,16.0,51.5,"['Gly', 'iBuPOSS']",j.polymdegradstab.2009.06.025_3_0
5,,3.75,8.41,1.0,10.0,19.5,[''],j.polymdegradstab.2009.06.025_3_0
