,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSR (m²/m²),TML (%),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,EHC (MJ/kg)_err,TSR (m²/m²)_err,TML (%)_err,Ref
0,EP,59.0,1064.0,97.1,35.9,2952.0,96.8,['EP'],2.0,60.0,10.0,1.9,98.0,3.0,j.polymdegradstab.2021.109544_5_0
1,5DOPO-BAPh/EP,54.0,693.0,96.2,33.4,2747.0,88.6,"['(5)DOPO-BAPh', 'EP']",1.0,23.0,11.0,1.6,93.0,5.0,j.polymdegradstab.2021.109544_5_0
2,10DOPO-BAPh/EP,53.0,591.0,85.9,31.3,2583.0,85.3,"['(10)DOPO-BAPh', 'EP']",1.0,24.0,8.0,1.3,85.0,4.0,j.polymdegradstab.2021.109544_5_0
3,15DOPO-BAPh/EP,51.0,429.0,78.6,28.7,2541.0,82.8,"['(15)DOPO-BAPh', 'EP']",2.0,22.0,8.0,1.3,75.0,5.0,j.polymdegradstab.2021.109544_5_0
4,20DOPO-BAPh/EP,47.0,266.0,69.1,26.3,2481.0,77.7,"['(20)DOPO-BAPh', 'EP']",2.0,13.0,9.0,1.1,72.0,4.0,j.polymdegradstab.2021.109544_5_0
