,Samples,T5% (°C),Tmax (°C),Rmax (%/min),Char residue (800 °C) (%),Vectors,Ref
0,EP,356.9,407.5,14.5,6.5,['EP'],j.cej.2019.121916_6_2
1,EP-DOPO,289.2,387.2,13.6,5.9,"['EP', 'DOPO']",j.cej.2019.121916_6_2
2,EP-0.5,356.3,398.2,14.6,11.5,['EP(0.5)'],j.cej.2019.121916_6_2
3,EP-1.0,354.9,398.0,14.6,12.5,['EP(1.0)'],j.cej.2019.121916_6_2
4,EP-1.5,354.0,393.2,13.9,13.3,['EP(1.5)'],j.cej.2019.121916_6_2
5,EP-2.0,348.7,389.7,12.3,16.7,['EP(2.0)'],j.cej.2019.121916_6_2
