,Samples,C (%),O (%),N (wt%),P (at%),Vectors,Ref
0,GO,68.9,31.1,-,-,['GO'],j.compositesb.2017.05.024_30_0
1,rGO,74.0,18.4,7.6,-,['rGO'],j.compositesb.2017.05.024_30_0
2,PD-rGO5,77.2,11.3,5.9,5.6,"['PD', 'rGO(5)']",j.compositesb.2017.05.024_30_0
3,PD-rGO10,76.9,11.7,6.0,5.4,"['PD', 'rGO(10)']",j.compositesb.2017.05.024_30_0
