,Samples,Contact angle (°),Surface energy (mJ/m²),Work of adhesion (mN m -¹,Vectors,Contact angle (°)_err,Surface energy (mJ/m²)_err,Work of adhesion (mN m -¹_err,Ref
0,TPU-0,87.0,20.2,76.6,['TPU(0)'],1.4,1.0,1.7,j.compositesb.2020.108075_13_0
1,TPU/GO 0.10,84.0,22.2,80.4,"['TPU', 'GO(0.10)']",1.2,0.8,1.5,j.compositesb.2020.108075_13_0
2,TPU/GO-PPD,96.7,14.2,64.3,"['TPU', 'GO-PPD']",1.6,0.9,2.0,j.compositesb.2020.108075_13_0
3,0.10,,,,['(0.10)'],,,,j.compositesb.2020.108075_13_0
4,TPU/GO-HMD 0.10,105.3,9.8,53.6,"['TPU', 'GO-HMD(0.10)']",2.3,0.9,2.8,j.compositesb.2020.108075_13_0
5,TPU/GO-NH3 0.10,90.7,17.7,71.9,"['TPU', 'GO-NH3(0.10)']",1.9,1.1,2.4,j.compositesb.2020.108075_13_0
