,Entry,Samples,E'(GPa),E (MPa),"Tg,DMA (°C)",Ve (mol/ dm³,Vectors,Ref
0,1.0,DBDBBB/33DDS,1.08,1.94,116.1,0.185,"['DBDBBB', '33DDS']",j.cej.2021.128647_7_0
1,2.0,DBDBBB/44DDS,1.08,2.79,125.3,0.292,"['DBDBBB', '44DDS']",j.cej.2021.128647_7_0
2,3.0,DBDBBB/ 33DDS,1.09,7.36,120.4,0.696,"['DBDBBB', '33DDS']",j.cej.2021.128647_7_0
3,4.0,DBDBBB/ 44DDSª,1.48,6.43,134.6,0.589,"['DBDBBB', '44DDS']",j.cej.2021.128647_7_0
4,5.0,DBDBBB/ 33DDSb,1.41,21.5,113.3,2.07,"['DBDBBB', '33DDS']",j.cej.2021.128647_7_0
5,6.0,DBDBBB/ 44DDSb,1.21,15.5,123.1,1.46,"['DBDBBB', '44DDSb']",j.cej.2021.128647_7_0
