,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),EHC (MJ/kg),TSP (m²),FIGRA (kW/m²s),COY (kg/kg),CO₂Y (kg/kg),Char residue (wt%),Vectors,Ref
0,EP,73.0,1141.5,81.53,21.77,17.2,7.98,0.0683,1.87,5.12,['EP'],j.compositesb.2020.108228_5_1
1,EP/7.5%TAP,64.0,857.93,59.09,17.58,13.23,6.04,0.0883,1.44,18.85,"['EP', '(0.075)TAP']",j.compositesb.2020.108228_5_1
2,EP/10%TAP,66.0,670.41,52.42,15.92,13.11,4.89,0.0879,1.3,21.14,"['EP', '(0.1)TAP']",j.compositesb.2020.108228_5_1
3,EP/12.5%TAP,62.0,753.71,53.93,16.11,13.54,5.38,0.09,1.31,20.05,"['EP', '(0.125)TAP']",j.compositesb.2020.108228_5_1
