,Samples,TTI (s),PHRR (kW/m²),THR (MJ/m²),TSR (m²/m²),Vectors,TTI (s)_err,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSR (m²/m²)_err,Ref
0,EP,36.0,2115.0,60.0,258.0,['EP'],3.0,63.0,3.0,21.0,j.compositesb.2020.107828_4_0
1,2 wt% ATH/EP,33.0,1664.0,60.0,1743.0,"['(0.02)ATH', 'EP']",1.0,25.0,2.0,91.0,j.compositesb.2020.107828_4_0
2,2 wt% PDA/EP,32.0,982.0,50.0,272.0,"['(0.02)PDA', 'EP']",2.0,37.0,2.0,36.0,j.compositesb.2020.107828_4_0
3,10 wt% ATH/EP,28.0,1041.0,56.0,1804.0,"['(0.1)ATH', 'EP']",2.0,71.0,3.0,86.0,j.compositesb.2020.107828_4_0
4,10 wt% PDA/EP,26.0,819.0,51.0,341.0,"['(0.1)PDA', 'EP']",1.0,56.0,1.0,77.0,j.compositesb.2020.107828_4_0
