,Samples,Element C,composition N (wt%),composition o (wt%),composition P (wt%),Vectors,Ref
0,EP/EG,92.36,3.44,4.2,0.0,"['EP', 'EG']",j.polymdegradstab.2016.03.017_8_0
1,EP/EG/DOPO-3,79.19,6.05,13.54,1.23,"['EP', 'EG', 'DOPO-3']",j.polymdegradstab.2016.03.017_8_0
2,EP/EG/HPCP-3,80.34,6.51,11.48,1.67,"['EP', 'EG', 'HPCP-3']",j.polymdegradstab.2016.03.017_8_0
