,Samples,Distribution ratio (L/g) U-CMC-SAL,Distribution ratio (L/g) N-CMC-SAL,"Selectivity coefficient, U-CMC-SAL","B UO22+/M""+ N-CMC-SAL","Relative selectivity coefficient, B,",Vectors,Ref
0,UO2²+,221.22,35.36,-,-,,"['UO2²', '']",j.carbpol.2013.05.062_9_0
1,VO2+,4.4,3.88,50.27,9.11,5.52,"['VO2', '']",j.carbpol.2013.05.062_9_0
2,Fe3+,6.41,65.67,34.51,0.54,25.69,"['Fe3', '']",j.carbpol.2013.05.062_9_0
3,Mn2+,2.68,2.23,21.55,15.86,63.9,"['Mn2', '']",j.carbpol.2013.05.062_9_0
4,Co2+,2.81,3.17,82.54,11.15,7.4,"['Co2', '']",j.carbpol.2013.05.062_9_0
5,Cu2,5.25,5.89,42.14,6.0,7.02,['Cu2'],j.carbpol.2013.05.062_9_0
