,Samples,Samples$,Formulations DGEBA (m),Formulations Sol-gel (ml),Formulations DETA curing agent (ml),Formulations Y-Al2O3 of size 10-20 nm (wt%),"Formulations MWCNT of size OD 10-15 nm, ID 2-6 nm, length 0-10 um (wt%)","Formulations$$$$$ MWCNT of size OD 10-15 nm, ID 2-6 nm, length 0.1-10 um (wt%)",Vectors,Ref
0,-,NE/AI,1.5,-,0.5,-,-,,['-'],j.ijadhadh.2010.05.002_2_0
1,-,SGA1/AI,1.5,12.0,-,-,-,,['-'],j.ijadhadh.2010.05.002_2_0
2,SGA2/MS,SGA2/AI,1.5,12.0,-,0.71,-,,"['SGA(2)', 'MS']",j.ijadhadh.2010.05.002_2_0
3,SGA3/MS,SGA3/AI,1.5,12.0,-,0.71,0.05,,"['SGA(3)', 'MS']",j.ijadhadh.2010.05.002_2_0
