,Samples,P Ratio in residues (%),Char yield (%),Initial P ratio in samples (%),Reserved P ratio in total P (%),Released P ratio in total P (%),Vectors,Ref
0,EP,0.0,6.0,0.0,0.0,0.0,['EP'],j.polymdegradstab.2016.06.010_7_0
1,6%DOPO/EP,2.19,10.1,0.86,25.6,74.4,"['(0.06)DOPO', 'EP']",j.polymdegradstab.2016.06.010_7_0
2,6%APHP/EP,4.66,15.0,1.22,57.4,42.6,"['(0.06)APHP', 'EP']",j.polymdegradstab.2016.06.010_7_0
3,2%APHP/4%DOPO/EP,4.86,16.8,0.98,83.7,16.3,"['(0.02)APHP', '(0.04)DOPO', 'EP']",j.polymdegradstab.2016.06.010_7_0
