,Samples,T5% (°C),Tmax (°C),Char residue (800 °C) (%),Vectors,Ref
0,EP,356.9,407.5,6.5,['EP'],j.cej.2019.121916_6_1
1,TMD,201.3,204.5,14.9,['TMD'],j.cej.2019.121916_6_1
2,Cal-EP/TMD,316.4,409.6,8.7,"['Cal-EP', 'TMD']",j.cej.2019.121916_6_1
3,Exp-EP/TMD,348.7,389.7,16.7,"['Exp-EP', 'TMD']",j.cej.2019.121916_6_1
