,Samples,TGA analysis T5% (°C),TGA analysis T10% (°C),TGA analysis Tmax (°C),TGA analysis YC at 800 °C (%),LOI (%),DMA E (40 °C) (MPa),DMA analysis Tg (C),Vectors,Ref
0,DGEBA/DDM,370.0,375.0,382.0,15.3,23.63,1953.0,193.0,"['DGEBA', 'DDM']",j.eurpolymj.2019.109304_8_0
1,DGEBA/BhPN,379.0,390.0,406.0,41.4,34.06,2935.0,253.0,"['DGEBA', 'BhPN']",j.eurpolymj.2019.109304_8_0
