,Samples,.1,DGEBA/15%PA-AEP,DGEBA/20%PA-AEP,Vectors,Ref
0,Kissinger and Crane eqe,E,88.05,108.75,['KissingerandCraneeqe'],j.polymdegradstab.2019.07.005_4_0
1,,InAb,15.02,20.33,[''],j.polymdegradstab.2019.07.005_4_0
2,,n°,0.95,0.96,[''],j.polymdegradstab.2019.07.005_4_0
3,Flynn-Wall-Ozawa eq,E,89.73,110.68,"['Flynn', 'Wall', 'Ozawaeq']",j.polymdegradstab.2019.07.005_4_0
