,Samples,Heating rate o 'Cmin' -1,T onset o C,T peak ° C,W600 (%),T10 (°C),T20 (°C),T50 (°C),Vectors,Ref
0,DGEBA/EFO/RAMA,10.0,380.0,422.0,1.2,259.0,374.0,413.0,"['DGEBA', 'EFO', 'RAMA']",j.polymdegradstab.2018.12.022_26_0
1,,20.0,380.0,427.0,2.1,325.0,374.0,418.0,[''],j.polymdegradstab.2018.12.022_26_0
2,,30.0,378.0,430.0,5.2,331.0,375.0,425.0,[''],j.polymdegradstab.2018.12.022_26_0
3,,10.0,383.0,419.0,1.1,339.0,380.0,419.0,[''],j.polymdegradstab.2018.12.022_26_0
4,DGEBA/EHO/RAMA,20.0,383.0,429.0,2.2,355.0,387.0,429.0,"['DGEBA', 'EHO', 'RAMA']",j.polymdegradstab.2018.12.022_26_0
5,,30.0,377.0,436.0,5.4,363.0,390.0,499.0,[''],j.polymdegradstab.2018.12.022_26_0
