,Samples,O (MPa),E (GPa),K (kJ/m³),"E, (%)",Of (MPa),Ef (GPa),Etot (J),Ef (%),Vectors,O (MPa)_err,E (GPa)_err,K (kJ/m³)_err,"E, (%)_err",Of (MPa)_err,Ef (GPa)_err,Etot (J)_err,Ef (%)_err,Ref
0,neat epoxy,55.3,1.68,1723.0,5.8,134.7,4.11,0.21,3.3,['EP'],4.6,0.16,172.0,0.4,14.2,0.17,0.06,0.4,j.compscitech.2018.10.013_5_0
1,0.1%fANFsEP,74.3,2.19,2516.0,6.3,154.1,3.63,0.49,4.3,['(0.001)fANFsEP'],11.5,0.1,588.0,0.7,6.7,0.19,0.07,0.3,j.compscitech.2018.10.013_5_0
2,0.2%fANFs/EP,76.1,2.04,2840.0,7.2,161.2,3.66,0.57,4.4,"['(0.002)fANFs', 'EP']",8.8,0.14,775.0,1.1,9.1,0.23,0.06,0.3,j.compscitech.2018.10.013_5_0
3,0.5%fANFs/EP,82.4,2.0,3152.0,7.2,164.5,3.71,0.65,4.5,"['(0.005)fANFs', 'EP']",7.5,0.19,660.0,0.9,8.6,0.17,0.16,0.4,j.compscitech.2018.10.013_5_0
4,1.0%fANFs/EP,87.7,2.0,3646.0,7.9,173.6,4.08,0.52,4.3,"['(0.01)fANFs', 'EP']",7.3,0.09,704.0,1.0,7.3,0.33,0.08,0.4,j.compscitech.2018.10.013_5_0
5,1.5%fANFs/EP,68.3,1.71,2548.0,7.5,154.0,3.71,0.5,4.2,"['(0.015)fANFs', 'EP']",5.2,0.12,326.0,0.7,12.8,0.12,0.1,0.3,j.compscitech.2018.10.013_5_0
