,ASR,Samples,Dp (nm),Mw (kDa),D,Tg (°C),AV (mg/g),Vectors,Dp (nm)_err,Mw (kDa)_err,Ref
0,1.0,2OA:IBOMA:MAA (75:10:15),125.0,9.3,1.9,30.0,88.0,"['2OA(0.75)', 'IBOMA(0.1)', 'MAA(0.15)']",3.0,0.2,j.eurpolymj.2020.110244_3_3
1,2.0,2OA:ISOMAraw:MAA (75:10:15),104.0,9.5,2.0,40.0,89.0,"['2OA(0.75)', 'ISOMAraw(0.1)', 'MAA(0.15)']",2.0,0.2,j.eurpolymj.2020.110244_3_3
