,Samples,Epoxy groups (mmol/g),DS,DS/DSally (%),C (%),N (%),Vectors,Epoxy groups (mmol/g)_err,Ref
0,Epoxy-WMS,0.13,0.025,11.0,43.08,0.24,"['EP', 'WMS']", 0.03,j.carbpol.2009.10.012_5_0
1,HD-WMS,,0.026,11.0,39.09,0.53,"['HD', 'WMS']",n.d.e,j.carbpol.2009.10.012_5_0
