,Samples,PHRR (kW/m²),THR (MJ/m²),TSP (m²),Residue (%),Vectors,PHRR (kW/m²)_err,THR (MJ/m²)_err,TSP (m²)_err,Residue (%)_err,Ref
0,EP,961.0,96.0,30.0,11.9,['EP'],12.0,3.0,1.0,0.9,j.cej.2017.08.059_21_0
1,EP/2% rGO,928.0,87.0,24.0,13.1,"['EP', '(0.02)rGO']",15.0,2.0,1.0,1.1,j.cej.2017.08.059_21_0
2,EP/2% LDH,554.0,84.0,23.0,17.3,"['EP', '(0.02)LDH']",1.0,2.0,1.0,0.7,j.cej.2017.08.059_21_0
3,EP/2% rGO@LDH,327.0,80.0,21.0,21.6,"['EP', '(0.02)rGO@LDH']",23.0,2.0,1.0,2.1,j.cej.2017.08.059_21_0
