,Samples,Macroscopic failure mode,,Vectors,Ref
0,,Adhesive (%),Cohesive (%),[''],j.ijadhadh.2011.06.016_6_1
1,Epoxy,100,-,['EP'],j.ijadhadh.2011.06.016_6_1
2,Epoxy/CNF,100,-,"['EP', 'CNF']",j.ijadhadh.2011.06.016_6_1
3,Epoxy/CNT,80,20,"['EP', 'CNT']",j.ijadhadh.2011.06.016_6_1
