,Samples,Tg (°C),"CTE (x10-5,°C-1) Glassy region","CTE (x10-5,°C-1) Rubbery region",Vectors,Tg (°C)_err,"CTE (x10-5,°C-1) Glassy region_err","CTE (x10-5,°C-1) Rubbery region_err",Ref
0,ECO/BPH,38.0,10.8,20.5,"['ECO', 'BPH']",1.0,0.2,0.3,j.eurpolymj.2004.09.011_5_0
1,ECO/BQH,30.0,11.8,21.1,"['ECO', 'BQH']",1.0,0.3,0.3,j.eurpolymj.2004.09.011_5_0
